# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    10.684827731   10.685125750    9.640424127
    0.781741742   30.800624968   30.805483357    1.983153589
    0.801760761   35.179101029   35.180517561    2.029273773
    0.821779780   16.599960257   16.575174084    1.836682478
    0.841798799  -20.161696774  -20.172385670    1.455337009
    0.861817818  -21.678659945  -21.676945253    1.440317224
    0.881836837  -15.991613677  -15.989576401    1.500124656
    0.901855856  -11.474272959  -11.472925591    1.547781597
    0.921874875   -8.285067772   -8.284223872    1.581644141
    0.941893894   -5.984629930   -5.984103824    1.606273974
    0.961912913   -4.259763903   -4.259440377    1.624919009
    0.981931932   -2.916722244   -2.916532962    1.639582854
    1.001950951   -1.834437796   -1.834341859    1.651509478
    1.021969970   -0.934090620   -0.934063405    1.661497250
    1.041988989   -0.161542480   -0.161569610    1.670077834
    1.062008008    0.523055113    0.522980840    1.677618003
    1.082027027    1.152027822    1.151907614    1.684379190
    1.102046046    1.755470198    1.755298963    1.690553504
    1.122065065    2.366397600    2.366162372    1.696286275
    1.142084084    3.024464839    3.024145575    1.701690618
    1.162103103    3.752105154    3.751718582    1.706857157
    1.182122122    4.244029961    4.244077026    1.711860709
    1.202141141    2.649167237    2.650854816    1.716765042
    1.222160160    1.040049604    1.040262831    1.721626406
    1.242179179    1.534398608    1.534110834    1.726496226
    1.262198198    2.284594856    2.284279618    1.731423289
    1.282217217    2.995515402    2.995184432    1.736455682
    1.302236236    3.668829999    3.668518802    1.741642577
    1.322255255    3.883949466    3.884292393    1.747036037
    1.342274274    2.375143182    2.376209540    1.752692997
    1.362293293    1.880057105    1.880073233    1.758677595
    1.382312312    2.372728344    2.372596007    1.765063974
    1.402331331    2.883611917    2.883504862    1.771939948
    1.422350350    3.322823056    3.322743032    1.779411884
    1.442369369    3.713694979    3.713632756    1.787611399
    1.462388388    4.079666896    4.079616314    1.796704818
    1.482407407    4.437989957    4.437947676    1.806906925
    1.502426426    4.802422648    4.802387244    1.818501495
    1.522445445    5.185726990    5.185698515    1.831872885
    1.542464464    5.601708137    5.601688129    1.847556240
    1.562483483    6.067334068    6.067326018    1.866320005
    1.582502503    6.605587647    6.605598110    1.889306175
    1.602521522    7.249964482    7.250005249    1.918274625
    1.622540541    8.051908322    8.052000150    1.956022698
    1.642559560    9.091139281    9.091314924    2.006967328
    1.662578579   10.467586351   10.467859586    2.076564746
    1.682597598   12.035194697   12.035157055    2.154796862
    1.702616617   11.149909181   11.146412481    2.077453833
    1.722635636    5.033813838    5.030071581    1.671384940
    1.742654655    5.137522237    5.136362920    1.636431202
    1.762673674    8.068523671    8.067324878    1.762094392
    1.782692693    9.807622481    9.809136243    1.844227841
    1.802711712    0.907362303    0.918708895    1.556420138
    1.822730731   -8.274924326   -8.273139513    1.253770545
    1.842749750   -7.094622543   -7.095797112    1.301709697
    1.862768769   -4.881104287   -4.882171576    1.383565206
    1.882787788   -3.320508014   -3.321358960    1.446138939
    1.902806807   -2.182870236   -2.183388869    1.492504863
    1.922825826   -1.230905677   -1.231271799    1.528164348
    1.942844845   -0.462376013   -0.462667305    1.556814626
    1.962863864    0.172599662    0.172353750    1.580796600
    1.982882883    0.716673336    0.716455589    1.601643155
    2.002901902    1.199898683    1.199697106    1.620419186
    2.022920921    1.644201827    1.644007098    1.637922250
    2.042939940    2.066962611    2.066766613    1.654807994
    2.062958959    2.483545977    2.483340702    1.671679242
    2.082977978    2.909381348    2.909157838    1.689163490
    2.102996997    3.362136276    3.361883300    1.707999209
    2.123016016    3.864510759    3.864212632    1.729155248
    2.143035035    4.447662406    4.447293266    1.754021190
    2.163054054    5.148223282    5.147718404    1.784731088
    2.183073073    5.969610846    5.968808185    1.824687411
    2.203092092    7.071747367    7.070708875    1.878981180
    2.223111111    8.627463062    8.626269937    1.950223518
    2.243130130    9.428209908    9.429173306    1.985571264
    2.263149149    2.455327239    2.464221315    1.657333218
    2.283168168   -5.039913199   -5.038588840    1.304438521
    2.303187187   -4.411630141   -4.412751683    1.332033544
    2.323206206   -2.859764393   -2.860733887    1.402963753
    2.343225225   -1.670716859   -1.671410857    1.456914944
    2.363244244   -0.801782889   -0.802288119    1.495851881
    2.383263263   -0.143151401   -0.143534974    1.524889753
    2.403282282    0.378895759    0.378592199    1.547455366
