# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    11.104982477   11.104870079    9.357504655
    1.721721722    2.320988743    2.320960513    1.655699528
    1.741741742    2.323128974    2.323100724    1.656152060
    1.761761762    2.325304208    2.325275938    1.656610902
    1.781781782    2.327514884    2.327486594    1.657076097
    1.801801802    2.329761451    2.329733140    1.657547691
    1.821821822    2.332044369    2.332016037    1.658025729
    1.841841842    2.334364110    2.334335757    1.658510258
    1.861861862    2.336721158    2.336692783    1.659001325
    1.881881882    2.339116009    2.339087611    1.659498980
    1.901901902    2.341549171    2.341520751    1.660003272
    1.921921922    2.344021164    2.343992721    1.660514251
    1.941941942    2.346532524    2.346504057    1.661031971
    1.961961962    2.349083797    2.349055307    1.661556483
    1.981981982    2.351675545    2.351647031    1.662087843
    2.002002002    2.354308345    2.354279807    1.662626106
    2.022022022    2.356982787    2.356954224    1.663171329
    2.042042042    2.359699477    2.359670888    1.663723569
    2.062062062    2.362459036    2.362430422    1.664282886
    2.082082082    2.365262103    2.365233463    1.664849342
    2.102102102    2.368109332    2.368080665    1.665422997
    2.122122122    2.371001393    2.370972700    1.666003915
    2.142142142    2.373938977    2.373910256    1.666592161
    2.162162162    2.376922791    2.376894042    1.667187802
    2.182182182    2.379953561    2.379924784    1.667790905
    2.202202202    2.383032033    2.383003227    1.668401540
    2.222222222    2.386158972    2.386130137    1.669019779
    2.242242242    2.389335165    2.389306300    1.669645693
    2.262262262    2.392561420    2.392532525    1.670279357
    2.282282282    2.395838567    2.395809641    1.670920849
    2.302302302    2.399167457    2.399138500    1.671570245
    2.322322322    2.402548968    2.402519979    1.672227625
    2.342342342    2.405984000    2.405954979    1.672893073
    2.362362362    2.409473479    2.409444425    1.673566671
    2.382382382    2.413018357    2.412989269    1.674248505
    2.402402402    2.416619612    2.416590491    1.674938664
    2.422422422    2.420278252    2.420249096    1.675637237
    2.442442442    2.423995313    2.423966122    1.676344318
    2.462462462    2.427771860    2.427742633    1.677060001
    2.482482482    2.431608990    2.431579727    1.677784383
    2.502502503    2.435507832    2.435478532    1.678517564
    2.522522523    2.439469548    2.439440211    1.679259647
    2.542542543    2.443495336    2.443465961    1.680010736
    2.562562563    2.447586428    2.447557014    1.680770939
    2.582582583    2.451744095    2.451714641    1.681540366
    2.602602603    2.455969646    2.455940151    1.682319132
    2.622622623    2.460264428    2.460234893    1.683107352
    2.642642643    2.464629834    2.464600257    1.683905146
    2.662662663    2.469067297    2.469037677    1.684712638
    2.682682683    2.473578296    2.473548634    1.685529953
    2.702702703    2.478164358    2.478134651    1.686357222
    2.722722723    2.482827057    2.482797306    1.687194578
    2.742742743    2.487568019    2.487538222    1.688042158
    2.762762763    2.492388923    2.492359080    1.688900104
    2.782782783    2.497291502    2.497261611    1.689768561
    2.802802803    2.502277547    2.502247608    1.690647678
    2.822822823    2.507348909    2.507318921    1.691537610
    2.842842843    2.512507501    2.512477464    1.692438514
    2.862862863    2.517755302    2.517725214    1.693350556
    2.882882883    2.523094358    2.523064218    1.694273902
    2.902902903    2.528526786    2.528496593    1.695208726
    2.922922923    2.534054778    2.534024531    1.696155208
    2.942942943    2.539680603    2.539650301    1.697113531
    2.962962963    2.545406610    2.545376253    1.698083887
    2.982982983    2.551235236    2.551204822    1.699066471
    3.003003003    2.557169003    2.557138531    1.700061486
    3.023023023    2.563210529    2.563179997    1.701069143
    3.043043043    2.569362528    2.569331936    1.702089658
    3.063063063    2.575627816    2.575597162    1.703123255
    3.083083083    2.582009318    2.581978601    1.704170164
    3.103103103    2.588510069    2.588479288    1.705230627
    3.123123123    2.595133225    2.595102379    1.706304890
    3.143143143    2.601882065    2.601851151    1.707393210
    3.163163163    2.608759997    2.608729016    1.708495854
    3.183183183    2.615770571    2.615739519    1.709613096
    3.203203203    2.622917477    2.622886353    1.710745223
    3.223223223    2.630204560    2.630173364    1.711892531
    3.243243243    2.637635826    2.637604556    1.713055328
    3.263263263    2.645215451    2.645184104    1.714233932
    3.283283283    2.652947789    2.652916364    1.715428676
    3.303303303    2.660837384    2.660805880    1.716639905
    3.323323323    2.668888980    2.668857395    1.717867977
    3.343343343    2.677107535    2.677075867    1.719113266
    3.363363363    2.685498229    2.685466476    1.720376160
    3.383383383    2.694066481    2.694034641    1.721657065
    3.403403403    2.702817963    2.702786033    1.722956402
    3.423423423    2.711758614    2.711726593    1.724274612
    3.443443443    2.720894659    2.720862544    1.725612154
    3.463463463    2.730232627    2.730200416    1.726969509
    3.483483483    2.739779367    2.739747058    1.728347179
    3.503503504    2.749542076    2.749509666    1.729745687
    3.523523524    2.759528316    2.759495802    1.731165585
    3.543543544    2.769746041    2.769713422    1.732607447
    3.563563564    2.780203627    2.780170899    1.734071877
    3.583583584    2.790909898    2.790877058    1.735559508
    3.603603604    2.801874159    2.801841205    1.737071004
    3.623623624    2.813106233    2.813073161    1.738607064
    3.643643644    2.824616500    2.824583307    1.740168424
    3.663663664    2.836415936    2.836382618    1.741755857
    3.683683684    2.848516161    2.848482716    1.743370178
    3.703703704    2.860929494    2.860895917    1.745012249
    3.723723724    2.873669003    2.873635290    1.746682976
    3.743743744    2.886748571    2.886714719    1.748383321
    3.763763764    2.900182964    2.900148968    1.750114300
    3.783783784    2.913987907    2.913953763    1.751876990
    3.803803804    2.928180169    2.928145873    1.753672533
    3.823823824    2.942777657    2.942743203    1.755502142
    3.843843844    2.957799522    2.957764905    1.757367107
    3.863863864    2.973266275    2.973231490    1.759268802
    3.883883884    2.989199920    2.989164962    1.761208691
    3.903903904    3.005624107    3.005588970    1.763188339
    3.923923924    3.022564294    3.022528971    1.765209417
    3.943943944    3.040047940    3.040012425    1.767273718
    3.963963964    3.058104722    3.058069008    1.769383165
    3.983983984    3.076766784    3.076730864    1.771539822
    4.004004004    3.096069013    3.096032879    1.773745914
    4.024024024    3.116049371    3.116013015    1.776003842
    4.044044044    3.136749265    3.136712678    1.778316198
    4.064064064    3.158213984    3.158177157    1.780685791
    4.084084084    3.180493203    3.180456125    1.783115672
    4.104104104    3.203641575    3.203604237    1.785609157
    4.124124124    3.227719430    3.227681821    1.788169864
    4.144144144    3.252793596    3.252755703    1.790801751
    4.164164164    3.278938381    3.278900192    1.793509155
    4.184184184    3.306236750    3.306198250    1.796296846
    4.204204204    3.334781741    3.334742916    1.799170083
    4.224224224    3.364678191    3.364639025    1.802134689
    4.244244244    3.396044848    3.396005323    1.805197125
    4.264264264    3.429016985    3.428977081    1.808364593
    4.284284284    3.463749659    3.463709356    1.811645151
    4.304304304    3.500421824    3.500381099    1.815047849
    4.324324324    3.539241576    3.539200402    1.818582903
    4.344344344    3.580452918    3.580411267    1.822261896
    4.364364364    3.624344623    3.624302463    1.826098030
    4.384384384    3.671261993    3.671219287    1.830106440
    4.404404404    3.721622731    3.721579438    1.834304584
    4.424424424    3.775938761    3.775894831    1.838712727
    4.444444444    3.834846800    3.834802177    1.843354569
    4.464464464    3.899152198    3.899106812    1.848258048
    4.484484484    3.969893335    3.969847101    1.853456382
    4.504504505    4.048438880    4.048391691    1.858989454
    4.524524525    4.136639220    4.136590934    1.864905657
    4.544544545    4.237070177    4.237020603    1.871264422
    4.564564565    4.353439135    4.353388004    1.878139706
    4.584584585    4.491283708    4.491230617    1.885624949
    4.604604605    4.659191555    4.659135881    1.893840235
    4.624624625    4.870804970    4.870745728    1.902942928
    4.644644645    5.146628566    5.146564416    1.913143921
    4.664664665    5.500287722    5.500219364    1.924733217
    4.684684685    5.757129681    5.757085029    1.938121621
    4.704704705    4.816199809    4.816265798    1.953910979
    4.724724725    3.800596266    3.800596571    1.973015675
    4.744744745    3.648659114    3.648535859    1.996870645
    4.764764765    3.705064011    3.705023229    2.027725012
    4.784784785    4.160448101    4.160439998    2.068422232
    4.804804805    4.641075299    4.641061468    2.114898357
    4.824824825    4.784225590    4.784081523    2.092989204
    4.844844845    4.283113768    4.282930103    1.928382480
    4.864864865    4.515143837    4.515043075    1.932310004
    4.884884885    4.827017855    4.826842007    1.952687521
    4.904904905    4.397946285    4.397687605    1.800218708
    4.924924925    4.581528738    4.581331510    1.774171786
    4.944944945    5.269798716    5.269569093    1.843415192
    4.964964965    6.117839421    6.117549951    1.921379722
    4.984984985    7.046165993    7.045895732    1.994046397
    5.005005005    7.012685891    7.013021367    1.968379264
    5.025025025    4.517897386    4.518654508    1.790588528
    5.045045045    1.214105838    1.214589363    1.613763317
    5.065065065    0.342812031    0.342702663    1.600232570
    5.085085085    1.195058509    1.194848612    1.657989514
    5.105105105    2.171560310    2.171360757    1.709163018
    5.125125125    3.058732683    3.058535675    1.749461987
    5.145145145    3.863781959    3.863613912    1.782395958
    5.165165165    3.886375736    3.886583273    1.809751676
    5.185185185    1.852559688    1.852890625    1.831589183
    5.205205205    1.530315671    1.530206823    1.854362089
    5.225225225    2.181171601    2.181020180    1.878000801
    5.245245245    2.838032645    2.837898626    1.901909488
    5.265265265    3.378868922    3.378804089    1.925822220
    5.285285285    3.512890286    3.512884163    1.946629731
    5.305305305    3.371978418    3.371659412    1.971132062
    5.325325325    3.579728352    3.579522513    2.002760347
    5.345345345    4.110627135    4.110441033    2.039678316
    5.365365365    4.704617489    4.704405150    2.083701760
    5.385385385    5.366083130    5.365827701    2.138361418
    5.405405405    6.154967238    6.154647683    2.209200945
    5.425425425    7.155252168    7.154836264    2.303909212
    5.445445445    8.421728976    8.421183406    2.420994639
    5.465465465    9.426784643    9.426240994    2.448211589
    5.485485485    8.406046362    8.406722032    2.185346605
    5.505505506    3.962684905    3.965115469    1.792150439
    5.525525526   -1.751222003   -1.749897833    1.416016597
    5.545545546   -1.827116166   -1.827710839    1.450044786
    5.565565566   -0.013347729   -0.014079025    1.605033128
    5.585585586    1.695822287    1.695224783    1.750172817
    5.605605606    2.584824078    2.585098598    1.842222690
    5.625625626    1.533575675    1.534042297    1.786970329
    5.645645646    0.636533722    0.636456270    1.592164862
    5.665665666   -0.554457108   -0.554255665    1.409144661
    5.685685686   -0.597855641   -0.597888455    1.450881583
    5.705705706   -0.411285224   -0.411522287    1.528109656
    5.725725726    0.466518130    0.466138329    1.603312862
    5.745745746    1.446627275    1.446222518    1.670672077
    5.765765766    2.439367204    2.438909413    1.734672763
    5.785785786    3.530636317    3.530093553    1.801377313
    5.805805806    4.665599553    4.665174130    1.868223278
    5.825825826    4.573575716    4.574533560    1.868890518
    5.845845846    0.974091597    0.976324804    1.687937659
    5.865865866   -1.078614290   -1.078753984    1.582202117
    5.885885886    0.119705647    0.118973379    1.644220967
    5.905905906    1.720806491    1.720083856    1.725215809
    5.925925926    2.733696486    2.733708209    1.784354845
    5.945945946   -0.238209848   -0.235651280    1.683148381
    5.965965966   -3.954440443   -3.954032885    1.527683309
    5.985985986   -3.518624174   -3.519080747    1.554107325
    6.006006006   -2.443889029   -2.444299728    1.606300923
    6.026026026   -1.559708639   -1.560025956    1.649828065
    6.046046046   -0.847284679   -0.847540704    1.685569513
    6.066066066   -0.231563396   -0.231786565    1.716535688
    6.086086086    0.341237885    0.341016688    1.745002163
    6.106106106    0.876256245    0.876019363    1.772614792
    6.126126126    1.282343225    1.282262466    1.799627166
    6.146146146    0.769985736    0.770239901    1.821644463
    6.166166166    0.435903471    0.435734614    1.848523824
    6.186186186    0.949466751    0.949139196    1.887780258
    6.206206206    1.666786101    1.666525042    1.935704377
    6.226226226    2.237622010    2.237660090    1.971189684
    6.246246246    1.240355655    1.241280818    1.872315569
    6.266266266    0.366983118    0.366879045    1.785354935
    6.286286286    0.882930551    0.882798296    1.820222753
    6.306306306   -0.065195176   -0.064433867    1.731557641
    6.326326326   -1.143635160   -1.143687861    1.631843618
    6.346346346   -0.857331707   -0.857456772    1.669310328
    6.366366366   -0.945771100   -0.945887426    1.720540871
    6.386386386   -0.531140587   -0.531382860    1.765543242
    6.406406406    0.074320723    0.074079439    1.807100005
    6.426426426    0.683727206    0.683473430    1.849525936
    6.446446446    1.279172938    1.278820432    1.896804510
    6.466466466    1.702558994    1.702254976    1.946047192
    6.486486486    1.347234138    1.347930538    1.937290099
    6.506506507   -0.530870576   -0.530104626    1.822003898
    6.526526527   -0.863536906   -0.863653724    1.808686407
    6.546546547   -0.889725026   -0.889743915    1.744362247
    6.566566567   -1.115519356   -1.115599275    1.655590451
    6.586586587   -1.201651317   -1.201556936    1.679519246
    6.606606607   -1.149993278   -1.150104103    1.721498874
    6.626626627   -0.830993222   -0.831202538    1.769213688
    6.646646647   -0.602272576   -0.602417244    1.808059301
    6.666666667   -0.419816170   -0.419966056    1.790413881
    6.686686687   -0.303423180   -0.303547233    1.749035617
    6.706706707   -0.076490049   -0.076574456    1.775127265
    6.726726727    0.179889486    0.179810956    1.813733379
    6.746746747    0.445256272    0.445170801    1.854043339
    6.766766767    0.726111763    0.726020692    1.896833733
    6.786786787    0.902387512    0.902350756    1.918179546
    6.806806807    0.364579310    0.364682886    1.798294328
    6.826826827   -0.003578075   -0.003635575    1.709931264
    6.846846847    0.152918578    0.152912870    1.736231965
    6.866866867   -0.010147620   -0.010025428    1.758654496
    6.886886887   -0.015865681   -0.015906274    1.781682705
    6.906906907    0.194225211    0.194162680    1.808585238
    6.926926927    0.402410997    0.402353426    1.833512595
    6.946946947    0.577992035    0.577924384    1.857395747
    6.966966967    0.710666964    0.710618357    1.882047958
    6.986986987    0.862834925    0.862789640    1.908998002
    7.007007007    0.912677695    0.912541783    1.933758460
    7.027027027    0.885520445    0.885403394    1.909479005
    7.047047047    0.900543785    0.900469724    1.845621062
    7.067067067    1.087860036    1.087800173    1.859973211
    7.087087087    1.332386155    1.332309098    1.892486188
    7.107107107    1.614775121    1.614663224    1.922665909
    7.127127127    1.925606394    1.925442527    1.953304040
    7.147147147    2.153162040    2.153165711    1.978695399
    7.167167167    1.564771903    1.565332907    1.918923747
    7.187187187    0.706579482    0.706697628    1.829553316
    7.207207207    0.428181009    0.428286123    1.840213113
    7.227227227    0.166420740    0.166236524    1.868210323
    7.247247247    0.443162842    0.442973551    1.903282495
    7.267267267    0.909164786    0.908989773    1.939775926
    7.287287287    1.385989397    1.385837617    1.975187945
    7.307307307    1.422270697    1.422474237    1.965177699
    7.327327327    0.185733673    0.186189864    1.844665095
    7.347347347   -0.862035586   -0.861836177    1.814442778
    7.367367367   -0.958641708   -0.958735361    1.840503488
    7.387387387   -0.616222949   -0.616336847    1.868285904
    7.407407407   -0.307058688   -0.307146021    1.890887040
    7.427427427   -0.067400633   -0.067471025    1.909601581
    7.447447447    0.091336254    0.091250758    1.925741982
    7.467467467    0.182400145    0.182343111    1.939887105
    7.487487487    0.284821449    0.284770472    1.953005681
    7.507507508    0.382531624    0.382505448    1.965849698
    7.527527528    0.504655642    0.504644737    1.978520793
    7.547547548    0.629792347    0.629790500    1.991214001
    7.567567568    0.740438185    0.740433038    2.003754755
    7.587587588    0.718269879    0.718241771    2.012471178
    7.607607608    0.590200170    0.590125588    2.016402889
    7.627627628    0.656851592    0.656742865    2.027873478
    7.647647648    0.774622061    0.774519036    2.041985098
    7.667667668    0.893223259    0.893124801    2.056971514
    7.687687688    1.009701933    1.009595821    2.073318128
    7.707707708    1.109139263    1.109010070    2.092003474
    7.727727728    1.236231716    1.236112194    2.114329581
    7.747747748    1.401877661    1.401760855    2.140015645
    7.767767768    1.458178602    1.458196598    2.147118744
    7.787787788    1.066849364    1.066986286    2.061517261
    7.807807808    0.952244228    0.952192935    2.024326093
    7.827827828    0.976269041    0.976314833    2.048283563
    7.847847848    0.540872222    0.540930687    2.073721821
    7.867867868    0.521090030    0.521000025    2.099007998
    7.887887888    0.644733165    0.644722019    2.118058238
    7.907907908    0.543230934    0.543318528    2.109812245
    7.927927928    0.542669989    0.542629853    2.103714551
    7.947947948    0.687692685    0.687649001    2.122042038
    7.967967968    0.848104539    0.848067893    2.144710618
    7.987987988    0.955979376    0.955890142    2.167469197
    8.008008008    0.872279166    0.872123032    2.191085476
    8.028028028    0.894580613    0.894524226    2.217378280
    8.048048048    1.047520192    1.047474964    2.248509756
    8.068068068    1.233935323    1.233880296    2.287227633
    8.088088088    1.441221551    1.441164149    2.333873177
    8.108108108    1.502276420    1.502320621    2.352273685
    8.128128128    0.840805768    0.841014440    2.221071699
    8.148148148    0.223602739    0.223597497    2.059765570
    8.168168168    0.215595323    0.215523379    2.022332430
    8.188188188    0.394305217    0.394240059    2.066210560
    8.208208208    0.551585730    0.551529777    2.109832624
    8.228228228    0.677188268    0.677138804    2.145274135
    8.248248248    0.782948683    0.782903872    2.175170428
    8.268268268    0.878844772    0.878803783    2.201988907
    8.288288288    0.972795884    0.972758480    2.227299424
    8.308308308    1.070376704    1.070340616    2.249753564
    8.328328328    1.157120560    1.157059977    2.259642412
    8.348348348    1.126025559    1.125878729    2.273578326
    8.368368368    1.087468756    1.087395631    2.299259888
    8.388388388    1.162303947    1.162289224    2.322192909
    8.408408408    1.023468076    1.023559916    2.303369991
    8.428428428    0.870667844    0.870654500    2.281979235
    8.448448448    0.952589592    0.952521712    2.303820442
    8.468468468    1.010380666    1.010279254    2.331333062
    8.488488488    1.092344537    1.092280401    2.358520473
    8.508508509    1.225090379    1.225034074    2.386188557
    8.528528529    1.358719115    1.358672421    2.414496746
    8.548548549    1.303358234    1.303417858    2.434731543
    8.568568569    0.898483273    0.898587541    2.436629882
    8.588588589    0.725989160    0.725965040    2.453807404
    8.608608609    0.843135651    0.843088144    2.493566884
    8.628628629    0.963948793    0.963904475    2.523813330
    8.648648649    0.928764653    0.928723496    2.444260016
    8.668668669    0.881509589    0.881492862    2.364445956
    8.688688689    0.958728946    0.958704452    2.393356831
    8.708708709    1.005113281    1.005030652    2.433947278
    8.728728729    1.033660297    1.033622287    2.469954478
    8.748748749    1.065422038    1.065324497    2.502250660
    8.768768769    1.118444554    1.118342758    2.532525414
    8.788788789    1.181068894    1.180961164    2.562003078
    8.808808809    1.214555841    1.214436996    2.591594108
    8.828828829    1.268615556    1.268506869    2.622100373
    8.848848849    1.348854861    1.348737211    2.654381325
    8.868868869    1.442957234    1.442821804    2.689386916
    8.888888889    1.554644044    1.554488520    2.727236951
    8.908908909    1.671625689    1.671487659    2.767838388
    8.928928929    1.753705184    1.753647587    2.798225899
    8.948948949    1.624963642    1.625047125    2.772652259
    8.968968969    1.168354100    1.168370494    2.762161439
    8.988988989    0.698123178    0.698212472    2.721755417
    9.009009009    0.641190842    0.641274629    2.732173734
    9.029029029    0.789079650    0.789152714    2.780952936
    9.049049049    0.927220999    0.927284153    2.830866567
    9.069069069    1.042099729    1.042158074    2.878433849
    9.089089089    1.143889298    1.143946756    2.925026686
    9.109109109    1.229739574    1.229785135    2.972002694
    9.129129129    1.249799899    1.249802184    3.020297774
    9.149149149    1.210013747    1.209937023    3.069791369
    9.169169169    1.202069046    1.202030531    3.117208580
    9.189189189    1.292298492    1.292302272    3.169131782
    9.209209209    1.407703571    1.407712386    3.229435280
    9.229229229    1.515525945    1.515537382    3.294757924
    9.249249249    1.440705218    1.440746450    3.362158499
    9.269269269    1.191822243    1.191803775    3.434596045
    9.289289289    1.028322214    1.028207458    3.520207639
    9.309309309    1.008604114    1.008580342    3.618468026
    9.329329329    1.117036948    1.117031871    3.730878784
    9.349349349    1.231344387    1.231336733    3.849266643
    9.369369369    1.336189055    1.336174549    3.951435985
    9.389389389    1.435582532    1.435577635    4.108669979
    9.409409409    1.442059346    1.442120742    4.282628218
    9.429429429    1.206336517    1.206405779    4.404331538
    9.449449449    1.216171425    1.216180333    4.672311895
    9.469469469    1.330613377    1.330599121    4.917680754
    9.489489489    1.328147519    1.328052960    4.970073565
    9.509509510    1.122217687    1.122142050    4.234213115
    9.529529530    1.099572390    1.099534251    4.172940722
    9.549549550    1.198258509    1.198230346    4.622384203
    9.569569570    1.193906147    1.193895287    4.170790070
    9.589589590    1.136396244    1.136386412    3.500733035
    9.609609610    1.151307889    1.151279562    3.002132776
    9.629629630    1.240364037    1.240335644    3.182030509
    9.649649650    1.339021015    1.338998888    3.618460758
    9.669669670    1.417779269    1.417744777    3.820791395
    9.689689690    1.405960620    1.405830928    2.323878751
    9.709709710    1.111738700    1.111554549    2.031608767
    9.729729730    1.028260085    1.028234687    2.719540192
    9.749749750    1.107797518    1.107793683    3.499922691
    9.769769770    1.185906559    1.185892784    4.263279270
    9.789789790    1.241946802    1.241930942    4.479478810
    9.809809810    1.310781831    1.310764430    3.431219746
    9.829829830    1.364986201    1.364980680    1.573136233
    9.849849850    1.294802704    1.294840943    1.040666667
    9.869869870    1.227127891    1.227118072    1.696622042
    9.889889890    1.278666122    1.278644121    1.806495446
    9.909909910    1.345449492    1.345428341    1.583451049
    9.929929930    1.396946498    1.396913642    2.126360826
    9.949949950    1.364685135    1.364634400    2.819430442
    9.969969970    1.315680745    1.315655392    3.536681233
    9.989989990    1.354417958    1.354392009    4.065923509
   10.010010010    1.411313768    1.411287742    3.025698157
   10.030030030    1.464986046    1.464957962    1.244625181
   10.050050050    1.502768126    1.502729107    0.398518388
   10.070070070    1.513872505    1.513819104    0.960091824
   10.090090090    1.536646163    1.536611237    1.653441570
   10.110110110    1.552141974    1.552120216    2.237556748
   10.130130130    1.494184886    1.494164380    2.644610497
   10.150150150    1.440741128    1.440735904    2.369132644
   10.170170170    1.408186088    1.408168861    1.654203384
   10.190190190    1.464009336    1.463988406    2.007754319
   10.210210210    1.508315314    1.508296987    2.588067944
   10.230230230    1.491289670    1.491266391    3.199835792
   10.250250250    1.457140700    1.457091574    3.932259325
   10.270270270    1.475787037    1.475764235    4.808862546
   10.290290290    1.537107160    1.537090541    5.553021685
   10.310310310    1.602392162    1.602374458    4.268883177
   10.330330330    1.663128468    1.663104257    0.309483332
