# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.041041041    2.197687574    2.197677552    1.623575215
    1.061061061    2.196660422    2.196650408    1.623328281
    1.081081081    2.195616739    2.195606733    1.623077060
    1.101101101    2.194556657    2.194546660    1.622821567
    1.121121121    2.193480310    2.193470320    1.622561820
    1.141141141    2.192387830    2.192377848    1.622297834
    1.161161161    2.191279354    2.191269381    1.622029626
    1.181181181    2.190155018    2.190145054    1.621757213
    1.201201201    2.189014962    2.189005006    1.621480612
    1.221221221    2.187859324    2.187849376    1.621199840
    1.241241241    2.186688245    2.186678306    1.620914915
    1.261261261    2.185501867    2.185491937    1.620625855
    1.281281281    2.184300332    2.184290411    1.620332676
    1.301301301    2.183083786    2.183073874    1.620035397
    1.321321321    2.181852372    2.181842469    1.619734037
    1.341341341    2.180606236    2.180596343    1.619428613
    1.361361361    2.179345527    2.179335643    1.619119145
    1.381381381    2.178070390    2.178060516    1.618805650
    1.401401401    2.176780976    2.176771111    1.618488148
    1.421421421    2.175477432    2.175467577    1.618166657
    1.441441441    2.174159910    2.174150065    1.617841197
    1.461461461    2.172828560    2.172818725    1.617511787
    1.481481481    2.171483534    2.171473708    1.617178447
    1.501501502    2.170124984    2.170115168    1.616841195
    1.521521522    2.168753062    2.168743256    1.616500052
    1.541541542    2.167367922    2.167358127    1.616155038
    1.561561562    2.165969717    2.165959932    1.615806172
    1.581581582    2.164558603    2.164548828    1.615453475
    1.601601602    2.163134732    2.163124969    1.615096966
    1.621621622    2.161698262    2.161688508    1.614736667
    1.641641642    2.160249346    2.160239603    1.614372597
    1.661661662    2.158788140    2.158778408    1.614004777
    1.681681682    2.157314801    2.157305080    1.613633229
    1.701701702    2.155829484    2.155819774    1.613257971
    1.721721722    2.154332347    2.154322647    1.612879026
    1.741741742    2.152823544    2.152813856    1.612496415
    1.761761762    2.151303234    2.151293556    1.612110158
    1.781781782    2.149771571    2.149761905    1.611720277
    1.801801802    2.148228715    2.148219060    1.611326792
    1.821821822    2.146674820    2.146665176    1.610929726
    1.841841842    2.145110043    2.145100411    1.610529099
    1.861861862    2.143534542    2.143524922    1.610124933
    1.881881882    2.141948473    2.141938864    1.609717250
    1.901901902    2.140351991    2.140342394    1.609306071
    1.921921922    2.138745254    2.138735668    1.608891418
    1.941941942    2.137128416    2.137118842    1.608473313
    1.961961962    2.135501635    2.135492073    1.608051777
    1.981981982    2.133865065    2.133855514    1.607626832
    2.002002002    2.132218861    2.132209323    1.607198501
    2.022022022    2.130563179    2.130553652    1.606766804
    2.042042042    2.128898172    2.128888658    1.606331765
    2.062062062    2.127223996    2.127214493    1.605893405
    2.082082082    2.125540803    2.125531312    1.605451746
    2.102102102    2.123848747    2.123839268    1.605006811
    2.122122122    2.122147980    2.122138514    1.604558622
    2.142142142    2.120438655    2.120429201    1.604107200
    2.162162162    2.118720924    2.118711482    1.603652568
    2.182182182    2.116994937    2.116985508    1.603194748
    2.202202202    2.115260846    2.115251429    1.602733763
    2.222222222    2.113518800    2.113509395    1.602269635
    2.242242242    2.111768948    2.111759556    1.601802386
    2.262262262    2.110011441    2.110002061    1.601332039
    2.282282282    2.108246424    2.108237057    1.600858615
    2.302302302    2.106474047    2.106464692    1.600382137
    2.322322322    2.104694455    2.104685113    1.599902628
    2.342342342    2.102907794    2.102898465    1.599420110
    2.362362362    2.101114210    2.101104894    1.598934606
    2.382382382    2.099313847    2.099304543    1.598446136
    2.402402402    2.097506848    2.097497558    1.597954725
    2.422422422    2.095693357    2.095684079    1.597460395
    2.442442442    2.093873515    2.093864250    1.596963167
    2.462462462    2.092047464    2.092038211    1.596463064
    2.482482482    2.090215342    2.090206103    1.595960108
    2.502502503    2.088377291    2.088368064    1.595454323
    2.522522523    2.086533448    2.086524234    1.594945729
    2.542542543    2.084683951    2.084674750    1.594434350
    2.562562563    2.082828936    2.082819749    1.593920207
    2.582582583    2.080968540    2.080959365    1.593403323
    2.602602603    2.079102896    2.079093734    1.592883720
    2.622622623    2.077232138    2.077222990    1.592361421
    2.642642643    2.075356400    2.075347265    1.591836447
    2.662662663    2.073475813    2.073466691    1.591308820
    2.682682683    2.071590508    2.071581398    1.590778564
    2.702702703    2.069700614    2.069691517    1.590245699
    2.722722723    2.067806260    2.067797177    1.589710248
    2.742742743    2.065907574    2.065898504    1.589172233
    2.762762763    2.064004683    2.063995626    1.588631675
    2.782782783    2.062097711    2.062088667    1.588088598
    2.802802803    2.060186784    2.060177753    1.587543022
    2.822822823    2.058272025    2.058263007    1.586994969
    2.842842843    2.056353556    2.056344552    1.586444462
    2.862862863    2.054431498    2.054422507    1.585891522
    2.882882883    2.052505973    2.052496995    1.585336171
    2.902902903    2.050577098    2.050568133    1.584778430
    2.922922923    2.048644991    2.048636040    1.584218321
    2.942942943    2.046709771    2.046700832    1.583655866
    2.962962963    2.044771551    2.044762626    1.583091086
    2.982982983    2.042830448    2.042821536    1.582524003
    3.003003003    2.040886573    2.040877675    1.581954637
