# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    2.522522523    0.004987734    0.004987687    0.000932346
    2.542542543    0.005068529    0.005068481    0.000943661
    2.562562563    0.005150888    0.005150839    0.000955112
    2.582582583    0.005234858    0.005234808    0.000966704
    2.602602603    0.005320487    0.005320437    0.000978439
    2.622622623    0.005407828    0.005407777    0.000990321
    2.642642643    0.005496934    0.005496881    0.001002356
    2.662662663    0.005587859    0.005587806    0.001014545
    2.682682683    0.005680662    0.005680607    0.001026895
    2.702702703    0.005775401    0.005775346    0.001039410
    2.722722723    0.005872140    0.005872084    0.001052093
    2.742742743    0.005970943    0.005970886    0.001064951
    2.762762763    0.006071877    0.006071819    0.001077988
    2.782782783    0.006175013    0.006174954    0.001091208
    2.802802803    0.006280424    0.006280364    0.001104619
    2.822822823    0.006388187    0.006388125    0.001118225
    2.842842843    0.006498380    0.006498317    0.001132031
    2.862862863    0.006611088    0.006611023    0.001146045
    2.882882883    0.006726396    0.006726331    0.001160273
    2.902902903    0.006844397    0.006844330    0.001174721
    2.922922923    0.006965184    0.006965116    0.001189395
    2.942942943    0.007088857    0.007088787    0.001204304
    2.962962963    0.007215519    0.007215448    0.001219455
    2.982982983    0.007345279    0.007345207    0.001234855
    3.003003003    0.007478250    0.007478177    0.001250513
    3.023023023    0.007614553    0.007614478    0.001266437
    3.043043043    0.007754311    0.007754235    0.001282636
    3.063063063    0.007897655    0.007897577    0.001299120
    3.083083083    0.008044723    0.008044644    0.001315898
    3.103103103    0.008195660    0.008195579    0.001332981
    3.123123123    0.008350616    0.008350533    0.001350378
    3.143143143    0.008509752    0.008509667    0.001368103
    3.163163163    0.008673234    0.008673148    0.001386165
    3.183183183    0.008841240    0.008841152    0.001404579
    3.203203203    0.009013955    0.009013865    0.001423355
    3.223223223    0.009191576    0.009191484    0.001442510
    3.243243243    0.009374309    0.009374215    0.001462056
    3.263263263    0.009562372    0.009562276    0.001482009
    3.283283283    0.009755996    0.009755897    0.001502385
    3.303303303    0.009955424    0.009955323    0.001523200
    3.323323323    0.010160915    0.010160812    0.001544473
    3.343343343    0.010372741    0.010372636    0.001566222
    3.363363363    0.010591191    0.010591084    0.001588467
    3.383383383    0.010816573    0.010816463    0.001611229
    3.403403403    0.011049212    0.011049100    0.001634530
    3.423423423    0.011289454    0.011289339    0.001658393
    3.443443443    0.011537667    0.011537549    0.001682843
    3.463463463    0.011794243    0.011794121    0.001707908
    3.483483483    0.012059598    0.012059474    0.001733614
    3.503503504    0.012334178    0.012334051    0.001759991
    3.523523524    0.012618459    0.012618328    0.001787072
    3.543543544    0.012912949    0.012912814    0.001814889
    3.563563564    0.013218190    0.013218052    0.001843479
    3.583583584    0.013534766    0.013534625    0.001872881
    3.603603604    0.013863303    0.013863158    0.001903135
    3.623623624    0.014204470    0.014204321    0.001934285
    3.643643644    0.014558992    0.014558838    0.001966379
    3.663663664    0.014927644    0.014927487    0.001999466
    3.683683684    0.015311267    0.015311105    0.002033600
    3.703703704    0.015710767    0.015710600    0.002068841
    3.723723724    0.016127123    0.016126952    0.002105251
    3.743743744    0.016561400    0.016561223    0.002142896
    3.763763764    0.017014751    0.017014568    0.002181850
    3.783783784    0.017488429    0.017488241    0.002222193
    3.803803804    0.017983803    0.017983609    0.002264008
    3.823823824    0.018502364    0.018502164    0.002307389
    3.843843844    0.019045745    0.019045538    0.002352436
    3.863863864    0.019615735    0.019615522    0.002399259
    3.883883884    0.020214300    0.020214080    0.002447977
    3.903903904    0.020843607    0.020843379    0.002498720
    3.923923924    0.021506045    0.021505809    0.002551631
    3.943943944    0.022204261    0.022204017    0.002606867
    3.963963964    0.022941195    0.022940942    0.002664599
    3.983983984    0.023720117    0.023719854    0.002725016
    4.004004004    0.024544681    0.024544409    0.002788329
    4.024024024    0.025418983    0.025418700    0.002854769
    4.044044044    0.026347627    0.026347332    0.002924592
    4.064064064    0.027335810    0.027335504    0.002998084
    4.084084084    0.028389424    0.028389105    0.003075566
    4.104104104    0.029515173    0.029514841    0.003157393
    4.124124124    0.030720724    0.030720377    0.003243968
    4.144144144    0.032014886    0.032014523    0.003335743
    4.164164164    0.033407833    0.033407454    0.003433230
    4.184184184    0.034911387    0.034910989    0.003537007
    4.204204204    0.036539364    0.036538947    0.003647738
    4.224224224    0.038308023    0.038307584    0.003766178
    4.244244244    0.040236634    0.040236173    0.003893198
    4.264264264    0.042348220    0.042347733    0.004029803
    4.284284284    0.044670520    0.044670006    0.004177160
    4.304304304    0.047237281    0.047236736    0.004336632
    4.324324324    0.050089982    0.050089403    0.004509818
    4.344344344    0.053280204    0.053279586    0.004698608
    4.364364364    0.056872906    0.056872245    0.004905253
    4.384384384    0.060951082    0.060950371    0.005132449
    4.404404404    0.065622469    0.065621701    0.005383455
    4.424424424    0.071029475    0.071028640    0.005662245
    4.444444444    0.077364235    0.077363318    0.005973707
    4.464464464    0.084892102    0.084891087    0.006323925
    4.484484484    0.093989584    0.093988443    0.006720550
    4.504504505    0.105207905    0.105206601    0.007173338
    4.524524525    0.119384385    0.119382860    0.007694905
    4.544544545    0.137847875    0.137846033    0.008301827
    4.564564565    0.162821693    0.162819370    0.009016291
    4.584584585    0.198274218    0.198271108    0.009868613
    4.604604605    0.251882164    0.251877646    0.010901220
    4.624624625    0.340080579    0.340073242    0.012175158
    4.644644645    0.502797991    0.502784172    0.013781167
    4.664664665    0.851316569    0.851285519    0.015859452
    4.684684685    1.686026392    1.685953244    0.018637014
    4.704704705    2.757112649    2.757081784    0.022503033
    4.724724725    2.144676858    2.144770788    0.028174130
    4.744744745    1.701257155    1.701289154    0.037094792
    4.764764765    1.141685182    1.141654589    0.052531574
    4.784784785    0.892817725    0.892834563    0.082971654
    4.804804805    1.039340423    1.039424111    0.152806885
    4.824824825    1.605010938    1.605158548    0.297497647
    4.844844845    1.649957650    1.649928686    0.312796817
    4.864864865    1.341106235    1.341109191    0.240321335
    4.884884885    1.680932684    1.681001036    0.309557732
    4.904904905    1.827940335    1.827869490    0.329727069
    4.924924925    1.318766108    1.318664017    0.192943395
    4.944944945    1.244912415    1.244789479    0.135851451
    4.964964965    1.630028418    1.629800498    0.141897247
    4.984984985    2.767808801    2.767287292    0.215721199
    5.005005005    5.231011630    5.230238343    0.381489933
    5.025025025    7.141963753    7.141747637    0.441696280
    5.045045045    6.249661910    6.250188740    0.353420127
    5.065065065    3.573962407    3.574380624    0.183814483
    5.085085085    2.011237829    2.011393840    0.101861849
    5.105105105    1.451778091    1.451811251    0.066636496
    5.125125125    1.412494056    1.412436682    0.049681361
    5.145145145    1.928524149    1.928310290    0.041229871
