# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    11.113107652   11.113477898    9.349077768
    1.101101101    2.270451738    2.270483487    1.641597920
    1.121121121    2.271675545    2.271707292    1.641869536
    1.141141141    2.272924912    2.272956656    1.642146430
    1.161161161    2.274200043    2.274231784    1.642428624
    1.181181181    2.275501150    2.275532888    1.642716142
    1.201201201    2.276828449    2.276860184    1.643009005
    1.221221221    2.278182161    2.278213893    1.643307239
    1.241241241    2.279562513    2.279594242    1.643610866
    1.261261261    2.280969739    2.281001465    1.643919912
    1.281281281    2.282404078    2.282435801    1.644234402
    1.301301301    2.283865774    2.283897493    1.644554361
    1.321321321    2.285355078    2.285386794    1.644879816
    1.341341341    2.286872248    2.286903960    1.645210794
    1.361361361    2.288417547    2.288449255    1.645547323
    1.381381381    2.289991245    2.290022950    1.645889430
    1.401401401    2.291593619    2.291625321    1.646237145
    1.421421421    2.293224954    2.293256651    1.646590497
    1.441441441    2.294885538    2.294917231    1.646949516
    1.461461461    2.296575671    2.296607359    1.647314233
    1.481481481    2.298295656    2.298327340    1.647684679
    1.501501502    2.300045807    2.300077487    1.648060887
    1.521521522    2.301826444    2.301858118    1.648442889
    1.541541542    2.303637894    2.303669564    1.648830719
    1.561561562    2.305480493    2.305512158    1.649224411
    1.581581582    2.307354586    2.307386246    1.649624000
    1.601601602    2.309260526    2.309292181    1.650029522
    1.621621622    2.311198673    2.311230322    1.650441013
    1.641641642    2.313169397    2.313201041    1.650858512
    1.661661662    2.315173078    2.315204716    1.651282055
    1.681681682    2.317210103    2.317241735    1.651711681
    1.701701702    2.319280872    2.319312497    1.652147432
    1.721721722    2.321385791    2.321417410    1.652589347
    1.741741742    2.323525278    2.323556891    1.653037467
    1.761761762    2.325699761    2.325731367    1.653491836
    1.781781782    2.327909679    2.327941278    1.653952497
    1.801801802    2.330155481    2.330187073    1.654419493
    1.821821822    2.332437628    2.332469213    1.654892871
    1.841841842    2.334756592    2.334788169    1.655372676
    1.861861862    2.337112856    2.337144426    1.655858955
    1.881881882    2.339506918    2.339538479    1.656351758
    1.901901902    2.341939284    2.341970838    1.656851132
    1.921921922    2.344410476    2.344442022    1.657357130
    1.941941942    2.346921030    2.346952566    1.657869801
    1.961961962    2.349471492    2.349503019    1.658389199
    1.981981982    2.352062424    2.352093943    1.658915378
    2.002002002    2.354694403    2.354725912    1.659448393
