# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    3.843843844    1.958114510    1.958147703    1.553388649
    3.863863864    1.956144069    1.956177251    1.552746476
    3.883883884    1.954174740    1.954207910    1.552102902
    3.903903904    1.952206586    1.952239744    1.551457946
    3.923923924    1.950239672    1.950272817    1.550811625
    3.943943944    1.948274058    1.948307191    1.550163956
    3.963963964    1.946309806    1.946342927    1.549514958
    3.983983984    1.944346976    1.944380084    1.548864648
    4.004004004    1.942385627    1.942418722    1.548213043
    4.024024024    1.940425817    1.940458899    1.547560161
    4.044044044    1.938467604    1.938500673    1.546906019
    4.064064064    1.936511043    1.936544100    1.546250635
    4.084084084    1.934556191    1.934589234    1.545594025
    4.104104104    1.932603102    1.932636132    1.544936206
    4.124124124    1.930651829    1.930684845    1.544277196
    4.144144144    1.928702424    1.928735427    1.543617010
    4.164164164    1.926754941    1.926787930    1.542955667
    4.184184184    1.924809429    1.924842404    1.542293183
    4.204204204    1.922865938    1.922898899    1.541629573
    4.224224224    1.920924518    1.920957465    1.540964856
    4.244244244    1.918985217    1.919018150    1.540299047
    4.264264264    1.917048083    1.917081001    1.539632162
    4.284284284    1.915113161    1.915146065    1.538964219
    4.304304304    1.913180498    1.913213387    1.538295232
    4.324324324    1.911250138    1.911283013    1.537625219
    4.344344344    1.909322126    1.909354986    1.536954195
    4.364364364    1.907396505    1.907429350    1.536282175
    4.384384384    1.905473317    1.905506147    1.535609177
    4.404404404    1.903552604    1.903585418    1.534935216
    4.424424424    1.901634407    1.901667206    1.534260307
    4.444444444    1.899718766    1.899751549    1.533584466
    4.464464464    1.897805719    1.897838487    1.532907708
    4.484484484    1.895895307    1.895928058    1.532230049
    4.504504505    1.893987566    1.894020302    1.531551505
    4.524524525    1.892082533    1.892115253    1.530872090
    4.544544545    1.890180246    1.890212949    1.530191819
    4.564564565    1.888280738    1.888313426    1.529510709
    4.584584585    1.886384046    1.886416718    1.528828773
    4.604604605    1.884490204    1.884522859    1.528146027
    4.624624625    1.882599244    1.882631882    1.527462485
    4.644644645    1.880711200    1.880743821    1.526778163
    4.664664665    1.878826104    1.878858708    1.526093075
    4.684684685    1.876943986    1.876976573    1.525407235
    4.704704705    1.875064878    1.875097448    1.524720658
    4.724724725    1.873188810    1.873221363    1.524033358
    4.744744745    1.871315811    1.871348347    1.523345351
    4.764764765    1.869445909    1.869478428    1.522656649
    4.784784785    1.867579134    1.867611634    1.521967268
    4.804804805    1.865715511    1.865747994    1.521277221
    4.824824825    1.863855069    1.863887534    1.520586522
    4.844844845    1.861997833    1.862030280    1.519895185
    4.864864865    1.860143828    1.860176258    1.519203224
    4.884884885    1.858293081    1.858325492    1.518510654
    4.904904905    1.856445615    1.856478008    1.517817486
    4.924924925    1.854601453    1.854633828    1.517123736
    4.944944945    1.852760620    1.852792976    1.516429417
    4.964964965    1.850923138    1.850955476    1.515734541
    4.984984985    1.849089029    1.849121348    1.515039123
    5.005005005    1.847258314    1.847290614    1.514343176
    5.025025025    1.845431014    1.845463295    1.513646712
    5.045045045    1.843607150    1.843639413    1.512949745
    5.065065065    1.841786742    1.841818985    1.512252289
    5.085085085    1.839969809    1.840002033    1.511554355
    5.105105105    1.838156370    1.838188575    1.510855957
    5.125125125    1.836346444    1.836378628    1.510157108
    5.145145145    1.834540047    1.834572212    1.509457820
    5.165165165    1.832737198    1.832769343    1.508758107
    5.185185185    1.830937912    1.830970038    1.508057979
    5.205205205    1.829142208    1.829174314    1.507357451
    5.225225225    1.827350100    1.827382186    1.506656534
    5.245245245    1.825561603    1.825593669    1.505955241
    5.265265265    1.823776734    1.823808779    1.505253584
    5.285285285    1.821995505    1.822027531    1.504551575
    5.305305305    1.820217932    1.820249937    1.503849226
    5.325325325    1.818444028    1.818476012    1.503146549
    5.345345345    1.816673806    1.816705769    1.502443557
    5.365365365    1.814907278    1.814939221    1.501740260
    5.385385385    1.813144457    1.813176379    1.501036672
    5.405405405    1.811385355    1.811417256    1.500332803
    5.425425425    1.809629983    1.809661863    1.499628665
    5.445445445    1.807878352    1.807910211    1.498924269
    5.465465465    1.806130473    1.806162311    1.498219628
    5.485485485    1.804386356    1.804418173    1.497514753
    5.505505506    1.802646012    1.802677807    1.496809654
    5.525525526    1.800909448    1.800941222    1.496104343
    5.545545546    1.799176675    1.799208427    1.495398832
    5.565565566    1.797447702    1.797479431    1.494693131
    5.585585586    1.795722535    1.795754243    1.493987252
    5.605605606    1.794001185    1.794032871    1.493281205
    5.625625626    1.792283657    1.792315321    1.492575001
    5.645645646    1.790569960    1.790601602    1.491868651
    5.665665666    1.788860101    1.788891720    1.491162166
    5.685685686    1.787154085    1.787185683    1.490455557
    5.705705706    1.785451920    1.785483495    1.489748833
    5.725725726    1.783753611    1.783785163    1.489042006
    5.745745746    1.782059164    1.782090694    1.488335087
    5.765765766    1.780368584    1.780400091    1.487628084
    5.785785786    1.778681876    1.778713361    1.486921009
    5.805805806    1.776999045    1.777030507    1.486213872
    5.825825826    1.775320096    1.775351534    1.485506683
    5.845845846    1.773645031    1.773676447    1.484799452
    5.865865866    1.771973856    1.772005249    1.484092190
    5.885885886    1.770306574    1.770337943    1.483384905
    5.905905906    1.768643188    1.768674534    1.482677608
    5.925925926    1.766983700    1.767015023    1.481970309
    5.945945946    1.765328115    1.765359414    1.481263018
    5.965965966    1.763676433    1.763707708    1.480555744
    5.985985986    1.762028657    1.762059909    1.479848496
    6.006006006    1.760384790    1.760416018    1.479141285
    6.026026026    1.758744832    1.758776037    1.478434119
    6.046046046    1.757108786    1.757139966    1.477727009
    6.066066066    1.755476652    1.755507808    1.477019963
    6.086086086    1.753848431    1.753879564    1.476312990
    6.106106106    1.752224124    1.752255233    1.475606101
    6.126126126    1.750603732    1.750634816    1.474899303
    6.146146146    1.748987254    1.749018314    1.474192606
    6.166166166    1.747374691    1.747405727    1.473486020
    6.186186186    1.745766042    1.745797053    1.472779552
    6.206206206    1.744161308    1.744192294    1.472073212
    6.226226226    1.742560487    1.742591449    1.471367009
    6.246246246    1.740963578    1.740994515    1.470660951
    6.266266266    1.739370581    1.739401493    1.469955046
    6.286286286    1.737781494    1.737812382    1.469249305
    6.306306306    1.736196316    1.736227178    1.468543734
    6.326326326    1.734615045    1.734645883    1.467838343
    6.346346346    1.733037679    1.733068492    1.467133139
    6.366366366    1.731464217    1.731495005    1.466428132
    6.386386386    1.729894656    1.729925418    1.465723330
    6.406406406    1.728328994    1.728359731    1.465018739
    6.426426426    1.726767228    1.726797939    1.464314370
    6.446446446    1.725209355    1.725240041    1.463610230
    6.466466466    1.723655373    1.723686034    1.462906326
    6.486486486    1.722105279    1.722135914    1.462202668
    6.506506507    1.720559069    1.720589679    1.461499262
    6.526526527    1.719016741    1.719047324    1.460796116
    6.546546547    1.717478290    1.717508847    1.460093239
    6.566566567    1.715943712    1.715974244    1.459390638
    6.586586587    1.714413005    1.714443511    1.458688320
    6.606606607    1.712886164    1.712916644    1.457986294
    6.626626627    1.711363185    1.711393639    1.457284567
    6.646646647    1.709844064    1.709874491    1.456583145
    6.666666667    1.708328796    1.708359197    1.455882037
    6.686686687    1.706817377    1.706847752    1.455181250
    6.706706707    1.705309802    1.705340151    1.454480792
    6.726726727    1.703806067    1.703836389    1.453780668
    6.746746747    1.702306166    1.702336462    1.453080888
    6.766766767    1.700810095    1.700840365    1.452381457
    6.786786787    1.699317848    1.699348091    1.451682382
    6.806806807    1.697829421    1.697859637    1.450983671
    6.826826827    1.696344807    1.696374997    1.450285331
    6.846846847    1.694864002    1.694894165    1.449587369
    6.866866867    1.693386999    1.693417136    1.448889790
    6.886886887    1.691913794    1.691943903    1.448192603
    6.906906907    1.690444380    1.690474462    1.447495814
    6.926926927    1.688978751    1.689008807    1.446799428
    6.946946947    1.687516902    1.687546930    1.446103454
    6.966966967    1.686058826    1.686088827    1.445407897
    6.986986987    1.684604517    1.684634491    1.444712765
    7.007007007    1.683153969    1.683183916    1.444018062
    7.027027027    1.681707175    1.681737095    1.443323796
    7.047047047    1.680264129    1.680294022    1.442629973
    7.067067067    1.678824825    1.678854690    1.441936600
    7.087087087    1.677389256    1.677419093    1.441243682
    7.107107107    1.675957415    1.675987225    1.440551225
    7.127127127    1.674529295    1.674559077    1.439859237
    7.147147147    1.673104889    1.673134644    1.439167721
    7.167167167    1.671684191    1.671713918    1.438476686
    7.187187187    1.670267193    1.670296893    1.437786136
    7.207207207    1.668853889    1.668883561    1.437096078
    7.227227227    1.667444271    1.667473915    1.436406517
    7.247247247    1.666038332    1.666067949    1.435717459
    7.267267267    1.664636065    1.664665653    1.435028909
    7.287287287    1.663237462    1.663267023    1.434340874
    7.307307307    1.661842516    1.661872049    1.433653359
    7.327327327    1.660451220    1.660480724    1.432966370
    7.347347347    1.659063565    1.659093041    1.432279912
    7.367367367    1.657679544    1.657708993    1.431593990
    7.387387387    1.656299151    1.656328571    1.430908611
    7.407407407    1.654922376    1.654951767    1.430223778
    7.427427427    1.653549212    1.653578575    1.429539498
    7.447447447    1.652179652    1.652208987    1.428855776
    7.467467467    1.650813687    1.650842993    1.428172617
    7.487487487    1.649451309    1.649480587    1.427490027
    7.507507508    1.648092511    1.648121761    1.426808009
    7.527527528    1.646737285    1.646766506    1.426126570
    7.547547548    1.645385622    1.645414815    1.425445715
    7.567567568    1.644037515    1.644066679    1.424765447
    7.587587588    1.642692955    1.642722091    1.424085773
    7.607607608    1.641351934    1.641381041    1.423406697
    7.627627628    1.640014444    1.640043523    1.422728224
    7.647647648    1.638680477    1.638709527    1.422050359
    7.667667668    1.637350024    1.637379045    1.421373106
    7.687687688    1.636023078    1.636052069    1.420696470
    7.707707708    1.634699629    1.634728592    1.420020455
    7.727727728    1.633379669    1.633408603    1.419345067
    7.747747748    1.632063190    1.632092095    1.418670310
    7.767767768    1.630750184    1.630779060    1.417996188
    7.787787788    1.629440641    1.629469489    1.417322706
    7.807807808    1.628134555    1.628163373    1.416649868
    7.827827828    1.626831915    1.626860704    1.415977679
    7.847847848    1.625532714    1.625561474    1.415306142
    7.867867868    1.624236942    1.624265673    1.414635262
    7.887887888    1.622944592    1.622973294    1.413965044
    7.907907908    1.621655655    1.621684327    1.413295491
    7.927927928    1.620370121    1.620398764    1.412626607
    7.947947948    1.619087983    1.619116597    1.411958398
    7.967967968    1.617809232    1.617837816    1.411290866
    7.987987988    1.616533858    1.616562414    1.410624015
    8.008008008    1.615261854    1.615290380    1.409957851
    8.028028028    1.613993211    1.614021707    1.409292375
    8.048048048    1.612727919    1.612756386    1.408627594
    8.068068068    1.611465971    1.611494408    1.407963509
    8.088088088    1.610207356    1.610235764    1.407300126
    8.108108108    1.608952068    1.608980446    1.406637447
    8.128128128    1.607700096    1.607728444    1.405975477
    8.148148148    1.606451431    1.606479751    1.405314219
    8.168168168    1.605206067    1.605234356    1.404653676
    8.188188188    1.603963992    1.603992252    1.403993853
    8.208208208    1.602725199    1.602753429    1.403334753
    8.228228228    1.601489678    1.601517879    1.402676380
    8.248248248    1.600257422    1.600285593    1.402018736
    8.268268268    1.599028420    1.599056561    1.401361825
    8.288288288    1.597802664    1.597830776    1.400705651
    8.308308308    1.596580146    1.596608228    1.400050217
    8.328328328    1.595360856    1.595388908    1.399395527
    8.348348348    1.594144785    1.594172808    1.398741583
    8.368368368    1.592931926    1.592959918    1.398088388
    8.388388388    1.591722268    1.591750230    1.397435947
    8.408408408    1.590515803    1.590543735    1.396784261
    8.428428428    1.589312522    1.589340424    1.396133335
    8.448448448    1.588112416    1.588140289    1.395483171
    8.468468468    1.586915476    1.586943319    1.394833773
    8.488488488    1.585721695    1.585749507    1.394185142
    8.508508509    1.584531061    1.584558844    1.393537283
    8.528528529    1.583343567    1.583371320    1.392890198
    8.548548549    1.582159205    1.582186927    1.392243890
    8.568568569    1.580977964    1.581005656    1.391598363
    8.588588589    1.579799836    1.579827499    1.390953617
    8.608608609    1.578624813    1.578652445    1.390309658
    8.628628629    1.577452885    1.577480487    1.389666486
    8.648648649    1.576284044    1.576311616    1.389024106
    8.668668669    1.575118281    1.575145823    1.388382519
    8.688688689    1.573955587    1.573983098    1.387741728
    8.708708709    1.572795953    1.572823434    1.387101736
    8.728728729    1.571639370    1.571666821    1.386462546
    8.748748749    1.570485830    1.570513251    1.385824159
    8.768768769    1.569335324    1.569362714    1.385186579
    8.788788789    1.568187842    1.568215203    1.384549808
    8.808808809    1.567043377    1.567070707    1.383913848
    8.828828829    1.565901920    1.565929220    1.383278702
    8.848848849    1.564763461    1.564790730    1.382644372
    8.868868869    1.563627992    1.563655231    1.382010860
    8.888888889    1.562495504    1.562522713    1.381378169
    8.908908909    1.561365989    1.561393168    1.380746301
    8.928928929    1.560239438    1.560266587    1.380115258
    8.948948949    1.559115842    1.559142960    1.379485043
    8.968968969    1.557995193    1.558022280    1.378855657
    8.988988989    1.556877481    1.556904538    1.378227103
    9.009009009    1.555762698    1.555789725    1.377599383
    9.029029029    1.554650836    1.554677833    1.376972499
    9.049049049    1.553541886    1.553568852    1.376346452
    9.069069069    1.552435839    1.552462774    1.375721246
    9.089089089    1.551332687    1.551359592    1.375096881
    9.109109109    1.550232420    1.550259295    1.374473360
    9.129129129    1.549135032    1.549161876    1.373850685
