20     -23.36253642 Ry
30     -23.81403154 Ry
40     -23.98134206 Ry
50     -24.05386196 Ry
60     -24.07547366 Ry
70     -24.08109921 Ry
80     -24.08256729 Ry
90     -24.08273738 Ry
100    -24.08275353 Ry
