 &plot nbnd=  70, nks=    51 /
            0.000000  0.000000  0.000000
  -58.867  -58.867  -58.867  -58.867  -34.594  -34.594  -34.594  -34.594  -32.167  -32.167
  -32.167  -32.167  -32.007  -32.007  -32.007  -32.007  -12.227  -12.227  -12.090  -12.090
  -10.970  -10.970  -10.758  -10.758   -3.953   -3.953   -3.439   -3.439   -0.642   -0.642
   -0.636   -0.636   -0.581   -0.581   -0.569   -0.569   -0.369   -0.369    0.447    0.447
    0.468    0.468    0.532    0.532    0.555    0.555    0.670    0.670    1.748    1.748
    2.396    2.396    4.693    4.693    4.712    4.712    4.768    4.768    4.792    4.792
    4.943    4.943    4.948    4.948    5.022    5.022    5.022    5.022    7.421    7.421
           -0.015873  0.027493  0.000000
  -58.867  -58.867  -58.867  -58.867  -34.594  -34.594  -34.594  -34.594  -32.167  -32.167
  -32.167  -32.167  -32.009  -32.009  -32.009  -32.009  -12.215  -12.215  -12.079  -12.079
  -10.965  -10.965  -10.754  -10.754   -3.940   -3.940   -3.426   -3.426   -0.655   -0.655
   -0.648   -0.648   -0.584   -0.584   -0.572   -0.572   -0.405   -0.405    0.351    0.351
    0.468    0.468    0.480    0.480    0.560    0.560    0.778    0.778    1.746    1.746
    2.382    2.382    4.692    4.692    4.709    4.709    4.772    4.772    4.796    4.796
    4.920    4.920    4.934    4.934    4.985    4.985    5.010    5.010    7.441    7.441
           -0.031746  0.054986  0.000000
  -58.866  -58.866  -58.866  -58.866  -34.597  -34.597  -34.597  -34.597  -32.168  -32.168
  -32.168  -32.168  -32.015  -32.015  -32.014  -32.014  -12.181  -12.181  -12.045  -12.045
  -10.950  -10.950  -10.740  -10.740   -3.901   -3.901   -3.387   -3.387   -0.723   -0.723
   -0.714   -0.714   -0.567   -0.567   -0.549   -0.549   -0.497   -0.497    0.160    0.160
    0.413    0.413    0.428    0.428    0.601    0.601    0.917    0.917    1.741    1.741
    2.339    2.339    4.660    4.660    4.677    4.677    4.798    4.798    4.827    4.827
    4.855    4.855    4.891    4.891    4.910    4.910    4.974    4.974    7.496    7.496
           -0.047619  0.082479  0.000000
  -58.865  -58.865  -58.865  -58.865  -34.601  -34.601  -34.600  -34.600  -32.170  -32.170
  -32.170  -32.170  -32.024  -32.024  -32.024  -32.024  -12.125  -12.125  -11.989  -11.989
  -10.924  -10.924  -10.718  -10.718   -3.838   -3.838   -3.325   -3.325   -0.843   -0.843
   -0.832   -0.832   -0.651   -0.651   -0.503   -0.503   -0.489   -0.489   -0.048   -0.048
    0.311    0.311    0.334    0.334    0.667    0.667    1.033    1.033    1.728    1.728
    2.262    2.262    4.589    4.589    4.623    4.623    4.705    4.705    4.759    4.759
    4.816    4.816    4.894    4.894    4.932    4.932    4.971    4.971    7.581    7.581
           -0.063491  0.109972  0.000000
  -58.863  -58.863  -58.863  -58.863  -34.606  -34.606  -34.605  -34.605  -32.173  -32.173
  -32.172  -32.172  -32.037  -32.037  -32.035  -32.035  -12.047  -12.047  -11.912  -11.912
  -10.889  -10.889  -10.688  -10.688   -3.753   -3.753   -3.241   -3.241   -1.000   -1.000
   -0.987   -0.987   -0.804   -0.804   -0.430   -0.430   -0.413   -0.413   -0.256   -0.256
    0.168    0.168    0.197    0.197    0.735    0.735    1.118    1.118    1.703    1.703
    2.151    2.151    4.495    4.495    4.524    4.524    4.569    4.569    4.688    4.688
    4.741    4.741    4.822    4.822    5.046    5.046    5.098    5.098    7.692    7.692
           -0.079364  0.137465  0.000000
  -58.860  -58.860  -58.860  -58.860  -34.613  -34.613  -34.612  -34.612  -32.177  -32.177
  -32.176  -32.176  -32.052  -32.052  -32.049  -32.049  -11.950  -11.950  -11.815  -11.815
  -10.845  -10.845  -10.650  -10.650   -3.650   -3.650   -3.142   -3.142   -1.179   -1.179
   -1.165   -1.165   -0.963   -0.963   -0.467   -0.467   -0.339   -0.339   -0.311   -0.311
   -0.015   -0.015    0.020    0.020    0.796    0.796    1.172    1.172    1.658    1.658
